id,name,subtitle,start_setup,step_1,step_2,step_3
703,Cat–Cow,"Slow and segmental, 10 cycles","On all fours — hands under shoulders, knees under hips.",[A] Neutral Tabletop (SETUP) Spine neutral. Take one full breath here before moving. This is the most therapeutic movement for the lumbar spine.,[B] Cat — Exhale (FLEX) Round the spine segment by segment toward the ceiling. Tuck chin and pelvis. Exhale fully. Move slowly — feel each vertebra.,"[C] Cow — Inhale (EXT) Let the belly drop, lift gaze and tailbone gently. Do not compress — open. Inhale fully. 10 slow cycles. Increase the range gradually as the back warms."
704,Child's Pose,"Extended hold, 90s","Kneeling, about to sit back toward your heels.","[A] Kneel Back (SETUP) From tabletop, sit hips back toward heels. Knees hip-width or wider. Toes together. Arms extend forward or rest alongside the body.",[B] Forehead Down (DECOMPRESS) Rest forehead on floor or hands. Let the whole spine lengthen. Breathe into the back body — feel the ribcage expand outward with each inhale.,[C] Side Reach (LATERAL) Walk both hands to the right. Feel the left side of the body lengthen. Hold 30s. Return through center. Walk hands left. Hold 30s. Return.
705,Windshield Wipers,"Slow rotation, 10 reps each","Lying on your back, knees bent, arms in a T.","[A] Supine Setup (SETUP) Knees bent, feet flat and hip-width. Arms in a T, palms down. Shoulders stay grounded throughout.",[B] Lower Right (ROTATE) Let both knees fall slowly to the right — only as far as comfortable. Breathe out. Feel the lumbar spine rotate and release. Shoulders do not lift.,"[C] Lower Left (ROTATE) Sweep knees back through center and lower to the left. Slow, windshield-wiper pace. This is traction for the lumbar vertebrae — gravity does the work."
706,Reclined Spinal Twist,"Extended hold, 60s each side",Lying on your back.,"[A] Setup (SETUP) Lie on back. Draw right knee to chest. Arms in a T, shoulders heavy. This passively rotates the lumbar spine and releases the QL — the deepest lower back muscle.","[B] Cross Right (TWIST) Guide right knee across to the left with left hand. Right arm extends, turn gaze right. Let gravity take the knee toward the floor — do not force it. Hold 60s.",[C] Cross Left (TWIST) Return through center slowly. Draw left knee across to the right. Gaze left. Hold 60s. Equal time each side. The release often comes in the final 20 seconds.
707,Legs Up the Wall,"Passive inversion, 2 minutes","Lying on your back, scooted close to a wall.","[A] Setup (SETUP) Sit sideways against a wall, then swing legs up. Hips as close to the wall as comfortable — it is fine to have a slight bend in the knees.","[B] Settle & Breathe (RESTORE) Let the lower back release toward the floor. Arms out at sides, palms up. Eyes closed. This drains venous pooling from the legs and decompresses the lumbar spine passively.","[C] Stay (RELEASE) Simply remain here. Breathe slowly. Each exhale, let the body get heavier. This is the most restorative position for a fatigued lower back. Two full minutes."
801,Weight Shifts,"Ankle strategy training, standing","Standing, feet hip-width, near a wall for safety.",[A] Neutral Stance (SETUP) Stand feet hip-width. Arms relaxed at sides. Soft knees — never locked. Eyes on a fixed point at eye level.,"[B] Side-to-Side Shifts (ANKLE) Slowly shift your weight to the right until the left foot is nearly unloaded. Pause 2 seconds. Shift left. Use your ankles, not your hips — think of yourself as a pendulum, not a seesaw.","[C] Forward & Back (PROPRIOCEPTION) Shift weight forward toward the balls of your feet, then back toward the heels. Stay within a comfortable range. Feel the floor through your feet — this is your sensory feedback loop."
802,Single-Leg Stance,Vestibular & glute med activation,"Standing near a wall, balanced on one foot.","[A] Stand Tall (SETUP) Stand near a wall or sturdy chair within arm's reach — use it for safety, not support. Find a fixed point at eye level to focus on — this is your visual anchor. Arms at sides or lightly touching the wall.","[B] Lift One Foot (BALANCE) Lift one foot a few inches off the floor. Keep the stance leg slightly bent — never lock the knee. The hip of the lifted leg should drop slightly, which means the standing glute med is working. Hold 20–30 seconds each side.","[C] Eyes Closed Progression (VESTIBULAR) Once stable with eyes open, close them. This removes visual compensation and forces the vestibular and somatosensory systems to do the work. Even 5–10 seconds eyes-closed is a meaningful challenge."
803,Tandem Walking,"Heel-to-toe, narrow base of support",Standing at one end of a clear path.,[A] Starting Position (SETUP) Stand tall. Heel of one foot touching the toes of the other. Find a line on the floor or imagine a tightrope. Arms out at sides for balance assist if needed.,"[B] Walk Forward (BALANCE) Step forward, placing the heel of the leading foot directly against the toes of the back foot. Take 10 slow, deliberate steps forward. Eyes forward — not down at your feet.","[C] Walk Backward (VESTIBULAR) Reverse direction — 10 steps back, toe touching heel. Walking backward is a separate vestibular challenge. Move slowly. This is a clinical tool used in fall prevention programs."
804,Grapevine Walk,"Lateral crossover steps, hip coordination",Standing with space to move laterally.,"[A] Side Start (SETUP) Stand tall, feet together. You will move laterally. Clear enough space for 8–10 sideways steps. Arms out slightly for balance.",[B] Cross & Step (COORDINATE) Step right with the right foot. Cross the left foot in front of the right. Step right again. Cross left foot behind the right. Repeat continuously. The alternating front/back crossover is the key pattern — it requires the brain to sequence hip abductor and adductor firing.,"[C] Reverse Direction (BILATERAL) Lead with the left foot back across the same path. Each direction uses a different motor pattern. Aim for smooth, continuous movement — choppy steps mean the brain is still learning the sequence."
805,Lateral Step-Downs,"Eccentric quad loading, 4-inch step","Standing on a low step or curb, one foot at the edge.","[A] Find Your Step (SETUP) Stand on the edge of a bottom stair, curb, or low stool (4–6 inches high). Stand sideways so one foot is on the edge. The other foot hangs free over the side. Hold a wall lightly for safety — not for support.",[B] Slow Descent (ECCENTRIC) Bend the standing leg to slowly lower the hanging foot toward the floor. Take 3–4 full seconds to descend. The standing knee should track directly over the second toe — not collapsing inward. This slow lowering is the entire point: you are training the quad to control deceleration.,"[C] Return to Top (CONTROL) Before the hanging foot touches the floor, reverse direction and press back to standing. Do not push off the lower foot — all the work comes from the standing leg. Switch sides after all reps."
901,Thoracic Extension,Over chair back — mid-spine mobilization,"Seated in a chair, hands behind your head.","[A] Chair Setup (SETUP) Sit at the edge of a firm chair. Place both hands behind your head, fingers interlaced, supporting the weight of your head. Identify the middle of your back — the thoracic spine, roughly between your shoulder blades. This is the target.",[B] Arch Back (EXTEND) Lean back so the top edge of the chair back contacts your mid-spine. Let the upper back gently arch over the support. Do not extend the lower back or neck — this is a thoracic-only movement. Breathe out as you arch. Feel the front of the chest opening.,[C] Segment & Breathe (MOBILIZE) Hold for 2–3 breaths at each level. Then shift slightly up or down the chair back to target adjacent segments. 3–5 positions across the thoracic spine. Never force — the weight of your head is sufficient traction.
902,Neck CARs,Controlled Articular Rotation — cervical spine,"Seated or standing upright, spine long.","[A] Setup & Brace (SETUP) Sit or stand tall. Pack the shoulders down away from ears. Engage the muscles of the neck lightly — imagine you are trying to make a double chin. This pre-tension is what makes CARs different from a regular neck stretch: the joint moves, the surrounding tissues stay engaged.","[B] The Half-Arc (CARS) Begin by drawing your chin toward your chest. Slowly arc the head to the right — ear toward right shoulder, continuing the arc until the ear moves toward the left shoulder, then chin returns to chest. One full half-arc takes 8–10 seconds. Move as if carving through resistance. Never tilt the head back — the arc travels chin to chest only, never through the back of the neck.","[C] Reverse & Repeat (END-RANGE) At any point where you feel stiffness or reduced range, slow down further and breathe into that position. Do not push through pain or any sharp sensation. Reverse direction for one full arc. 2–3 rotations each direction is sufficient. If you feel dizziness at any point, stop immediately and rest."
903,Shoulder CARs,Controlled Articular Rotation — glenohumeral joint,"Standing, one arm at your side.","[A] Setup & Lock Down (SETUP) Stand tall. Work one arm at a time. Before moving, engage the lat on the working side — imagine trying to crush a walnut in your armpit. This stabilizes the scapula so the ball-and-socket joint does the work, not the whole shoulder blade.","[B] Full Arc Forward (CARS) Keeping the arm straight and under tension, lift it forward and up overhead in a large circle. As it passes overhead, rotate the palm to face behind you, then continue the circle down behind your back as far as your range allows. Move through thick resistance. The entire arc should take 10–12 seconds.","[C] Reverse Arc (END-RANGE) At the limit of your range behind the body, pause and breathe. Reverse the circle — same path, same resistance, same slow pace. Switch arms after 2 full rotations. The shoulder that feels stuck is the one that needs this most."
904,Wrist CARs,Controlled Articular Rotation — radiocarpal joint,"Seated or standing, forearms resting or extended.","[A] Setup (SETUP) Sit or stand. Extend both arms in front at shoulder height. Make loose fists. Engage the forearm muscles lightly — you should feel mild tension in the forearm, not the fingers. This active tension is what makes this therapeutic rather than passive.","[B] Full Rotation (CARS) Slowly rotate both wrists simultaneously through their full available range: flex down, rotate toward the little finger side, extend back, rotate toward the thumb side. One full circle takes 6–8 seconds. Move as if drawing large circles in the air with your knuckles.","[C] Reverse & Isolate (END-RANGE) Reverse direction for equal rotations. If one wrist has less range in a particular direction, slow down there — that is where the synovial fluid is most restricted. 4–5 rotations each direction is a complete set."
905,Hip CARs,Controlled Articular Rotation — hip joint,"Standing, one hand lightly on a wall for balance.",[A] Setup & Stabilize (SETUP) Stand on one leg. Hold a wall lightly with one hand for safety only — not for balance support. Engage the standing glute to keep the pelvis completely still. The entire point of Hip CARs is that the pelvis does not move — only the femur in the hip socket. Squeeze the core before lifting the leg.,"[B] Full Circumduction (CARS) Lift the free knee and begin rotating the hip: knee lifts forward, swings out to the side, extends behind the body, sweeps back to center. One full rotation takes 8–10 seconds. Keep the circle as large as your range allows while the pelvis stays completely still. If the hip hikes or the lower back twists, you have exceeded your available range — make the circle smaller.","[C] Reverse & Switch (END-RANGE) Reverse direction for the same number of rotations. At any restricted point in the arc, slow further and breathe. 2–3 rotations each direction, each side. The hip that feels grinding or clicking is the one that needs the most consistent attention."
906,Ankle CARs,Controlled Articular Rotation — talocrural joint,"Seated or standing, one foot lifted off the floor.","[A] Seated Setup (SETUP) Sit in a chair. Cross one ankle over the opposite knee so the foot is free in the air. Hold the lower leg just above the ankle to stabilize the shin — you want the foot to move, not the whole leg. Engage the muscles of the lower leg lightly.","[B] Full Rotation (CARS) Draw the largest circle possible with your big toe. Move clockwise: point the foot forward, rotate out, flex back, rotate in. Take 5–6 seconds per full rotation. Most people discover significant restriction when moving into dorsiflexion (toes pulled back) — this is the direction that matters most for walking and balance.","[C] Reverse & Switch (END-RANGE) Reverse direction. 4–5 rotations each way per foot. If the ankle feels stiff or crunchy, this is synovial fluid restriction — not a reason to stop, but a reason to go slower and breathe through the range."
907,Adductor Rock-Back,Posterior hip capsule & inner thigh release,"On all fours, one knee wide to the side.","[A] Quadruped Setup (SETUP) Begin on hands and knees. Hands under shoulders, knees under hips. Spine neutral. Extend one leg directly out to the side — keep it straight, toes pointing forward or slightly down. The extended leg forms a 90-degree angle with your body.","[B] Rock Back (STRETCH) Slowly shift your hips back toward your heels, keeping the extended leg in place. You will feel a deep stretch along the inner thigh and the back of the hip on the extended side. Take 3–4 seconds to rock back. Breathe out during the descent. Do not round the lower back.","[C] Rock Forward & Repeat (RELEASE) Rock forward to the starting position. Pause briefly, then rock back again. 8–10 slow repetitions, then switch sides. This movement targets the posterior hip capsule and adductors — two structures that chronic sitting locks into permanent shortening."
1001,Plantar Fascia Stretch,Seated toe extension hold,"Seated in a chair, one foot crossed over the opposite knee.",[A] Seated Setup (SETUP) Sit in a chair. Cross one foot over the opposite knee so the sole faces you. Hold the base of the toes with one hand. This is the windlass mechanism — the same tissue that loads with every walking step.,[B] Extend the Toes (STRETCH) Gently pull all toes back toward the shin until you feel a firm stretch along the arch. You should feel the plantar fascia tighten into a cord-like band. Hold this position — do not bounce. 30 seconds minimum. Research shows this specific stretch reduces morning pain more effectively than calf stretching alone.,"[C] Massage the Arch (RELEASE) While holding the toe extension with one hand, use the thumb of the other hand to apply firm, slow strokes along the arch from heel to ball of foot. 5–6 strokes per set. Switch feet."
1002,Seated Foot Roll,Plantar fascia myofascial release,"Seated in a chair, a ball or bottle under one foot.",[A] Find Your Tool (SETUP) A frozen water bottle is ideal — the cold provides additional anti-inflammatory benefit. A tennis ball or smooth water bottle at room temperature also works. Place it on the floor in front of your chair.,"[B] Roll the Arch (RELEASE) Place the arch of one foot on the bottle. Apply moderate downward pressure — enough to feel it, not enough to cause sharp pain. Slowly roll from the heel to the ball of the foot and back. 30 seconds per foot. Pause on any tender spots for 5–10 seconds rather than rolling through them.","[C] Target the Heel (FASCIAL) Shift pressure toward the heel — specifically the medial tubercle of the calcaneus, where the fascia attaches. This is typically the most sensitive spot. Use lighter pressure here. Slow, sustained pressure is more effective than rolling speed."
1003,Gastroc Stretch,"Standing calf stretch, straight knee","Standing, hands on a wall, one foot stepped back.","[A] Wall Setup (SETUP) Stand facing a wall, hands flat at shoulder height for support. Step one foot back about 18–24 inches, keeping both feet pointing straight forward. The back knee stays completely straight throughout — this targets the gastrocnemius, the larger calf muscle that crosses the knee.","[B] Lunge Forward (STRETCH) Bend the front knee and shift your weight forward until you feel a deep stretch in the calf of the back leg. Keep the back heel firmly on the floor — if it lifts, step the foot closer. Hold for 30–45 seconds. The gastroc is directly connected to the Achilles tendon, which loads the plantar fascia.","[C] Switch & Repeat (BILATERAL) Switch sides. If one side is significantly tighter, spend an extra round there. Tight calves are among the most common contributing factors to plantar fasciitis — they increase load on the fascia with every step."
1004,Soleus Stretch,Bent-knee calf stretch — deeper target,"Standing at a wall, back knee bent, rear heel down.","[A] Wall Setup (SETUP) Same starting position as the Gastroc Stretch — one foot stepped back, hands on wall. But this time, bend the back knee slightly. This small change completely shifts the stretch from the gastrocnemius to the soleus — the deeper, shorter calf muscle that attaches below the knee.","[B] Sink Into It (STRETCH) With the back knee bent, shift weight gently forward. The stretch will feel lower and deeper than the gastroc stretch — closer to the Achilles and heel. Keep the back heel on the floor. Hold 30–45 seconds. The soleus is often the tighter of the two calf muscles and the more overlooked.","[C] Switch Sides (BILATERAL) Repeat on the other side. If you have one-sided plantar fasciitis, pay particular attention to the soleus on that side. This stretch is often prescribed alone for cases where standard calf stretching hasn't helped."
1005,Toe Splay,Intrinsic foot muscle activation,Seated or standing barefoot on a firm surface.,"[A] Seated or Standing (SETUP) Sit or stand barefoot on a firm surface. Place both feet flat on the floor, parallel, hip-width apart. Relax everything from the ankle down — no gripping or curling of toes. Feel the full footprint on the floor.",[B] Spread All Toes (ACTIVATE) Actively spread all five toes as wide apart as possible without lifting the foot. Hold for 2 seconds. Most people discover they cannot independently move their toes much at all — this is normal and is exactly why this exercise exists. The abductor hallucis and the interossei are the target muscles.,"[C] Release & Repeat (CONTROL) Slowly release the spread. Pause 1 second. Repeat. If only some toes move, that is useful information — work with what you have. Over days and weeks, the range and independence improves noticeably."
1006,Arch Doming,Short foot exercise — intrinsic arch activation,"Seated, one foot flat on the floor.","[A] Setup (SETUP) Sit with one foot flat on the floor. The goal is to shorten the foot from heel to ball — creating a dome shape in the arch — without curling the toes. This is called the short foot exercise. It directly activates the flexor digitorum brevis and abductor hallucis, the primary arch-supporting muscles.","[B] Draw Heel to Ball (ACTIVATE) Without lifting the heel or curling the toes, try to drag the ball of the foot toward the heel. The arch should visibly rise. Hold for 3 seconds. This movement is subtle and mentally demanding. If the toes curl, relax them — the arch lift must come from the intrinsic muscles, not the long toe flexors.","[C] Release & Build (PROGRESS) Slowly release the arch. 10 reps per foot. As this becomes easier, progress to performing it standing, then standing on one leg. The short foot exercise is the single most prescribed intrinsic foot strengthening movement in sports PT and orthopedic rehabilitation."
1007,Big Toe Extension,Windlass mechanism mobilization,"Seated, foot flat on the floor.",[A] Seated Setup (SETUP) Sit with foot flat on the floor. Place two fingers lightly under the big toe. The big toe is the most mechanically important digit in walking — its extension during push-off is what tightens the plantar fascia like a winch (the windlass mechanism). Restricted big toe extension is a direct cause of arch strain.,"[B] Lift Only the Big Toe (ISOLATE) Lift only the big toe as high as possible, keeping the other four toes on the floor. Hold for 2 seconds. Then reverse — press the big toe down and lift the other four. This isolation trains the extensor hallucis and establishes independent toe control.","[C] Assisted Extension (MOBILIZE) Using your fingers, gently assist the big toe into full extension — past where it goes on its own. Hold for 5 seconds. This passively mobilizes the first metatarsophalangeal joint and stretches the intrinsic flexors. Restricted range here correlates directly with plantar fasciitis severity."
1008,Eccentric Heel Drops,Alfredson protocol — straight knee,"Standing on the edge of a step, heels hanging off the back.","[A] Step Edge Setup (SETUP) Stand on the edge of a step or curb with both feet, heels hanging off the back. Rise up onto both forefeet to the top position. This is the Alfredson protocol — the most evidence-backed exercise for plantar fasciitis and Achilles tendinopathy. Keep the working knee straight throughout.",[B] Single-Leg Lower (ECCENTRIC) Shift weight to one foot. Slowly lower the heel below the step level — taking a full 3 seconds to descend. You are loading the calf eccentrically: it is contracting while lengthening. This is the specific stimulus that promotes tendon and fascial remodeling. Do not rush.,"[C] Two-Leg Return (RESET) Use both feet to rise back to the top position. Switch the working leg. 15 reps each side. If this is painless, add load over time — a backpack with a book is sufficient. Mild discomfort during the movement is acceptable; sharp pain is not."
1009,Eccentric Soleus Drops,Bent-knee heel drops — deeper calf loading,"Standing on the edge of a step, heels hanging off the back.","[A] Step Edge, Knee Bent (SETUP) Same starting position as Eccentric Heel Drops — on a step edge, heels hanging. But this time, bend the working knee to approximately 30–40 degrees. This simple change shifts the load from the gastrocnemius to the soleus. The soleus attaches below the knee and is the primary load-bearing muscle of the calf during walking.","[B] Slow Descent (ECCENTRIC) Lower the heel slowly on the bent-knee leg — 3 full seconds down. Maintain the same knee angle throughout the descent. Do not let the knee straighten during the lowering phase or you shift back to the gastrocnemius. Feel the load deep in the lower calf, just above the heel.","[C] Two-Leg Return (RESET) Use both feet to return to the top. Switch sides. 15 reps each side. These two eccentric exercises — straight knee and bent knee — together cover the full calf-Achilles-fascia chain. Done consistently 3 days a week, clinical improvement is typically measurable within 6–8 weeks."
1010,Towel Scrunches,Flexor digitorum brevis strengthening,"Seated barefoot, a small towel flat under one foot.",[A] Towel Setup (SETUP) Sit barefoot with a small towel flat on the floor under one foot. The towel should be thin enough that you can feel the floor texture through it. No towel? Use a sock or work on a textured surface — the goal is toe flexion against mild resistance.,"[B] Scrunch & Hold (STRENGTHEN) Curl all five toes to scrunch the towel toward you. Use only the toes — do not slide the whole foot. Hold the scrunch for 2 seconds, then release fully. This targets the flexor digitorum brevis and the lumbricals — the small muscles that support the metatarsal arch, the often-overlooked transverse arch of the foot.","[C] Repeat & Switch (ENDURANCE) Continue for 20 seconds, then switch feet. 3 sets per side. As strength builds, progress to standing on one leg while performing the scrunch — this adds the balance challenge and integrates the intrinsic work into functional loading."
1100,Ankle Pumps & Circles,Circulation — prevents swelling and blood pooling,"Seated in your seat, feet flat on the floor.","[A] Seated Start (SETUP) Sit upright, feet flat on the floor. Lift both feet slightly so heels rest lightly. No need to remove shoes.","[B] Pump Up & Down (CIRCULATE) Flex feet up (toes toward shins) then point down — 20 slow repetitions. This activates the soleus muscle, which acts as a second heart to pump blood back from the legs.","[C] Slow Circles (MOBILIZE) Rotate each ankle in slow, full circles — 10 clockwise, 10 counter-clockwise per foot. Imagine drawing large, smooth circles in the air with your big toe."
1101,Seated Glute Squeezes,Prevents gluteal amnesia from prolonged pressure,"Seated in your seat, feet flat.","[A] Neutral Sit (SETUP) Sit tall, feet flat. No leaning — weight distributed evenly through both sit bones. Shoulders relaxed.",[B] Squeeze & Hold (ACTIVATE) Squeeze both glutes firmly together. Hold for 5 seconds. Breathe normally — do not hold your breath or brace the upper body.,[C] Release & Repeat (RESET) Release completely for 5 seconds. 10 repetitions. Prolonged pressure switches off the glutes over time — this keeps the tissue and motor signal alive.
1102,Seated Cat-Cow,Lubricates intervertebral discs compressed under cabin pressure,"Seated upright in your seat, hands on knees.",[A] Hands on Knees (SETUP) Sit at the front third of your seat. Hands resting on knees. Spine neutral. Take one breath here.,"[B] Arch — Inhale (EXT) Inhale as you arch the low back, lift the chest, and gently look upward. Let the spine extend segmentally from tailbone to neck.","[C] Round — Exhale (FLEX) Exhale fully as you round the spine, tuck the chin, and pull the navel in. Feel each vertebra flex. 8–10 slow cycles."
1103,Peripheral Vision Softening,Down-regulates the nervous system during stress or turbulence,"Seated, eyes open and gaze forward.",[A] Soft Gaze Forward (SETUP) Let your eyes relax and unfocus slightly. Do not look at a screen or read. Allow the gaze to become wide and diffuse.,"[B] Expand Peripheral Awareness (DOWNREGULATE) Without moving your eyes, softly notice the full width of your visual field — the edges of the cabin, movement in your periphery. This is panoramic vision, the same visual state predators use when resting.","[C] Hold & Breathe (CALM) Maintain this soft, wide gaze for 60–90 seconds. Breathe slowly. This activates the parasympathetic nervous system and reduces the threat-detection response that makes turbulence feel dangerous."
1104,Standing Psoas Release,Long-axis stretch for hip flexors shortened during travel,"Standing, about to step into a shallow lunge.",[A] Shallow Lunge (SETUP) Step forward into a shallow lunge — not a deep split. Back knee can be raised or lowered. Both feet point forward. Keep torso upright.,[B] Pelvic Tuck & Lean (STRETCH) Tuck the pelvis slightly (posterior tilt) to flatten the low back. Gently lean the torso toward the front leg. You will feel a deep stretch at the front of the back hip — this is the psoas.,"[C] Hold & Breathe (RELEASE) Hold 30–45 seconds each side. With each exhale, allow the hip to sink a little further. Do not force — the psoas responds to patience, not pressure."
1105,Wall Slides (W to Y),Activates lower trapezius to fix 'luggage shoulder',Standing with your back flat against a wall.,"[A] Wall Contact (SETUP) Stand with head, upper back, and glutes touching the wall. Arms in a W shape — elbows bent, backs of hands against the wall. This is your baseline.","[B] Slide to Y (ACTIVATE) Keeping the backs of hands and elbows touching the wall, slowly slide arms upward until they form a Y overhead. If contact is lost, reduce range. The lower trapezius must fire to keep the shoulder blades down and in.",[C] Slow Return (CONTROL) Lower arms back to W in 3 seconds. Do not shrug or let shoulders elevate. 10 reps. This directly reverses the upper trap dominance that carrying luggage creates.
1106,Open Book Stretch,Restores thoracic rotation — the first thing to lock after travel,"Lying on your side, knees stacked at 90°.",[A] Side-Lying Setup (SETUP) Lie on your side with hips and knees bent to 90°. Stack knees together. Extend both arms forward at shoulder height. Place top hand on top knee to keep hips anchored.,"[B] Open the Top Arm (ROTATE) Keeping the bottom knee stack stable, slowly rotate the top arm up, back, and toward the floor behind you — like opening a book. Let the chest and thoracic spine follow the arm.",[C] Hold & Return (RELEASE) Hold for 3–5 breaths at the end range. Do not force the shoulder to the floor — let gravity do it gradually. Return slowly. 5 reps each side.
1107,Physiological Sigh,Rapidly offloads CO₂ and signals the brain you have arrived safely,Seated or lying down — any comfortable position.,[A] Relax Completely (SETUP) Sit or lie comfortably. Let the body be heavy. Close the eyes. This is not just breathing — it is a signal to the nervous system that the travel phase is over.,"[B] Double Inhale (CO2 OFFLOAD) Breathe in through the nose to about 80% capacity, then sniff in a second short inhale to fully inflate the lungs. This pops collapsed air sacs (alveoli) and maximizes surface area for CO₂ exchange.","[C] Long Exhale (DOWNREGULATE) Release a long, slow exhale through the mouth — twice as long as the inhale. 3–5 rounds. Each cycle measurably reduces physiological arousal. You will feel the nervous system shift."
1108,Doorway Pec Stretch,Counteracts internal shoulder rotation from carrying bags,"Standing in a doorway, forearms on the frame.","[A] Doorway Setup (SETUP) Stand in a doorway. Place both forearms on the door frame at 90° — elbows at shoulder height, upper arms parallel to floor. Step one foot forward.",[B] Lean Through (STRETCH) Gently shift your weight forward through the doorway. Let the chest open. You should feel a stretch across the pectorals and front of the shoulders.,"[C] Hold & Breathe (RELEASE) Hold 30–45 seconds. On each exhale, allow the chest to open a fraction more. Do not shrug the shoulders up. Switch foot position halfway through."
1109,Glute Bridge,Re-engages the posterior chain after hours of sitting,"Lying on your back, knees bent, feet flat on the floor.","[A] Supine Setup (SETUP) Lie on your back. Feet flat, hip-width, heels 6 inches from glutes. Arms flat at sides. This is your reset position after travel.","[B] Drive & Lift (ENGAGE) Press through the heels and lift the hips until shoulders, hips, and knees form a straight line. Squeeze the glutes firmly at the top. Hold 2 seconds.",[C] Lower Slowly (CONTROL) Lower with control — 3 seconds down. Do not let the hips crash. The slow descent builds the posterior chain that sitting disengages.
2000,Thoracic Extension (foam roller),Extension options,Seated or supine with foam roller/rolled towel under the upper back (shoulder blade level).,[A] Setup (SETUP) Place foam roller or rolled towel under upper back. Keep knees bent and feet on the floor if lying.,[B] Extend (EXTEND) Support your head with hands and gently arch back over the roller. Pause and breathe for 3-5 breaths.,"[C] Alternative (VARIATION) If no roller, use a chair back, wall, or puppy-pose quadruped variation to find comfortable extension."
2001,Cat–Cow,Segmental flexion/extension,"On all fours, neutral spine.","[A] Neutral Tabletop (SETUP) Hands under shoulders, knees under hips. Neutral spine, neck long.","[B] Cow — Inhale (EXTEND) Inhale, drop the belly, lift the chest and tailbone.","[C] Cat — Exhale (FLEX) Exhale, round through the spine segment by segment. Move slowly for 10 cycles."
2002,Thoracic Rotation,"Rotation, 5–10 per side",Seated or kneeling with arms crossed.,[A] Seated Setup (SETUP) Sit tall with hands across chest or arms hugging shoulders.,"[B] Rotate (ROTATE) Rotate upper body gently to one side, keeping hips facing forward. Return and repeat other side.",
2003,Wall Angels,Scapular retraction & mobility,Standing with back against a wall.,"[A] Wall Contact (SETUP) Head, upper back and glutes touch the wall. Arms in a W at shoulder height.",[B] Slide to Y (ACTIVATE) Slide arms up overhead into a Y keeping contact with the wall. Return slowly.,
2004,Chin Tucks,Cervical retraction,Seated or standing tall.,"[A] Setup (SETUP) Sit or stand tall, eyes forward.","[B] Tuck (NECK) Draw chin straight back (not down), hold gently for 3–5 seconds then release.",
2005,Thread the Needle,Thoracic rotation & shoulder release,"All fours — hands under shoulders, knees under hips.","[A] Setup (SETUP) From tabletop, reach one arm under the body and rest shoulder on the floor.",[B] Hold (RELEASE) Breathe here 20–30 seconds per side and feel rotation through the upper back.,
2006,Child's Pose,Gentle spine flexion & reset,Kneel and reach arms forward.,[A] Kneel & Fold (SETUP) Sit back toward heels and fold forward with arms extended. Relax the chest toward the floor.,,
2007,Hand on Heart,Self-compassion activation through physical self-touch,"Seated or lying down, in any comfortable position.","[A] Place Both Hands (SETUP) Place one or both hands flat on the center of the chest, over the heart. Close the eyes. Physically feel the warmth of your own hands through the fabric. This simple gesture activates the same neurological pathway as receiving care from another person — the body does not fully distinguish the source of the touch.",[B] Feel the Heartbeat (CONNECT) Press gently until you can feel your heartbeat — or simply feel the rise and fall of the chest with the breath. Acknowledge: this heart has been beating for your entire life without your asking it to. It does not need you to be anxious on its behalf. Let it do its work.,"[C] Breathe Into the Hands (SOFTEN) Breathe slowly, imagining the breath flowing to and from the hands. With each exhale, consciously soften the area beneath the palms. Dr. Kristin Neff's research on self-compassion shows this gesture measurably reduces cortisol and activates the caregiving system — the same system that calms an anxious child also calms an anxious adult."
2008,Earlobe Circles,Auricular vagal branch stimulation through ear massage,"Seated, both hands raised to the ears.","[A] Find the Earlobes (SETUP) Reach up and gently take both earlobes between the thumb and index finger. The ear — specifically the concha and tragus — contains a branch of the vagus nerve called the auricular branch. Gentle stimulation here has been shown in clinical studies to increase heart rate variability, a direct marker of parasympathetic tone.","[B] Slow Circles and Gentle Pulls (STIMULATE) Make slow, gentle circles with the earlobes. Then gently pull the lobes downward — a slow, steady traction. Move to the outer ear rim (helix) and trace it slowly from bottom to top with the thumb. Take your time. This is not massage — it is gentle, deliberate stimulation.","[C] Continue and Breathe (TONE) Continue for the full minute, working both ears simultaneously. Breathe slowly — long exhales enhance the effect. You may notice a warmth in the ears, a softening of tension in the jaw, or a gentle heaviness behind the eyes. These are signs of vagal activation. This technique is used in integrative medicine for acute anxiety and insomnia."
2010,Wrist Flexor Stretch,Stretch the palm-side forearm,"Seated or standing, arm extended.",[A] Setup (SETUP) Extend the arm with palm facing up.,[B] Stretch (STRETCH) Use the other hand to gently pull fingers back toward you. Hold 30s per side.,
2011,Wrist Extensor Stretch,Stretch the top forearm,Arm extended palm down.,[A] Setup (SETUP) Extend the arm with palm facing down.,[B] Stretch (STRETCH) Use the other hand to press the fingers toward the forearm. Hold 30s per side.,
2012,Median Nerve Glide,Nerve mobility,"Seated, arm supported.",[A] Setup (SETUP) Start with a neutral wrist and fingers.,"[B] Glide (GLIDE) Make a fist, then straighten fingers and thumb across the palm. Repeat smoothly for 10 reps.",
2013,Prayer Stretch,Gentle wrist flexion,Standing or seated at chest height.,"[A] Prayer Setup (SETUP) Bring palms together at chest, fingers pointing up.",[B] Lower (STRETCH) Slowly lower hands while keeping palms together to stretch the wrists. Hold 20s.,
